CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 2.062500 1642041395.3546
MEM 15.332031 1642041395.4588
MEM 23.796875 1642041395.5658
MEM 29.851562 1642041395.6729
MEM 37.421875 1642041395.7809
MEM 56.671875 1642041395.8895
MEM 103.953125 1642041396.0015
MEM 121.816406 1642041396.1086
MEM 133.894531 1642041396.2166
MEM 138.152344 1642041396.3236
MEM 212.316406 1642041396.4306
MEM 185.464844 1642041396.5387
MEM 187.265625 1642041396.6457
MEM 187.042969 1642041396.7527
MEM 197.015625 1642041396.8607
MEM 203.183594 1642041396.9678
MEM 195.089844 1642041397.0748
MEM 206.359375 1642041397.1828
MEM 208.488281 1642041397.2898
MEM 215.921875 1642041397.3969
MEM 221.863281 1642041397.5069
MEM 207.664062 1642041397.6179
MEM 203.386719 1642041397.7289
MEM 200.937500 1642041397.8410
MEM 183.515625 1642041397.9530
MEM 169.449219 1642041398.0630
MEM 185.777344 1642041398.1750
MEM 203.691406 1642041398.2871
MEM 185.777344 1642041398.3991
MEM 178.476562 1642041398.5111
MEM 159.671875 1642041398.6232
MEM 176.953125 1642041398.7352
MEM 191.558594 1642041398.8452
MEM 159.703125 1642041398.9572
MEM 165.175781 1642041399.0692
MEM 176.214844 1642041399.1813
MEM 186.199219 1642041399.2933
MEM 186.699219 1642041399.4053
MEM 187.097656 1642041399.5174
MEM 195.996094 1642041399.6294
MEM 195.203125 1642041399.7414
MEM 197.589844 1642041399.8534
MEM 210.808594 1642041399.9655
MEM 217.359375 1642041400.0775
MEM 216.468750 1642041400.1895
MEM 212.785156 1642041400.3015
MEM 195.667969 1642041400.4126
MEM 200.863281 1642041400.5236
MEM 183.449219 1642041400.6356
MEM 180.054688 1642041400.7476
MEM 177.410156 1642041400.8577
MEM 159.824219 1642041400.9697
MEM 159.851562 1642041401.0817
MEM 169.683594 1642041401.1937
MEM 175.027344 1642041401.3058
MEM 179.960938 1642041401.4178
MEM 196.257812 1642041401.5288
MEM 207.167969 1642041401.6398
MEM 200.476562 1642041401.7519
MEM 197.175781 1642041401.8639
MEM 197.714844 1642041401.9739
MEM 216.230469 1642041402.0859
MEM 221.902344 1642041402.1980
MEM 205.316406 1642041402.3100
MEM 164.050781 1642041402.4220
MEM 159.593750 1642041402.5340
MEM 169.812500 1642041402.6461
MEM 167.304688 1642041402.7581
MEM 175.441406 1642041402.8701
MEM 185.351562 1642041402.9821
MEM 196.550781 1642041403.0942
MEM 196.269531 1642041403.2042
MEM 200.542969 1642041403.3162
MEM 208.023438 1642041403.4282
MEM 217.011719 1642041403.5403
MEM 214.906250 1642041403.6503
MEM 197.367188 1642041403.7623
MEM 207.066406 1642041403.8723
MEM 218.539062 1642041403.9844
MEM 205.765625 1642041404.0964
MEM 179.632812 1642041404.2084
MEM 160.066406 1642041404.3204
MEM 166.933594 1642041404.4305
MEM 176.656250 1642041404.5405
MEM 185.808594 1642041404.6525
MEM 170.371094 1642041404.7625
MEM 167.664062 1642041404.8726
MEM 167.570312 1642041404.9846
MEM 180.644531 1642041405.0966
MEM 186.472656 1642041405.2086
MEM 196.742188 1642041405.3207
MEM 207.945312 1642041405.4327
MEM 217.621094 1642041405.5447
MEM 221.753906 1642041405.6567
MEM 210.972656 1642041405.7688
MEM 217.046875 1642041405.8808
MEM 213.238281 1642041405.9928
MEM 201.246094 1642041406.1049
MEM 170.042969 1642041406.2149
MEM 162.925781 1642041406.3269
MEM 160.347656 1642041406.4389
MEM 167.234375 1642041406.5510
MEM 177.585938 1642041406.6620
MEM 167.808594 1642041406.7730
MEM 176.410156 1642041406.8850
MEM 187.718750 1642041406.9971
MEM 187.832031 1642041407.1091
MEM 187.210938 1642041407.2211
MEM 201.003906 1642041407.3331
MEM 218.417969 1642041407.4452
MEM 204.976562 1642041407.5572
MEM 186.484375 1642041407.6692
MEM 212.468750 1642041407.7812
MEM 225.683594 1642041407.8933
MEM 192.078125 1642041408.0053
MEM 170.179688 1642041408.1153
MEM 167.812500 1642041408.2273
MEM 176.968750 1642041408.3394
MEM 186.906250 1642041408.4514
MEM 186.839844 1642041408.5634
MEM 196.386719 1642041408.6754
MEM 190.851562 1642041408.7875
MEM 187.710938 1642041408.8995
MEM 201.035156 1642041409.0115
MEM 207.511719 1642041409.1236
MEM 217.632812 1642041409.2356
MEM 206.242188 1642041409.3476
MEM 215.789062 1642041409.4596
MEM 211.140625 1642041409.5717
MEM 203.804688 1642041409.6837
MEM 204.269531 1642041409.7937
MEM 187.375000 1642041409.9057
MEM 167.980469 1642041410.0178
MEM 160.722656 1642041410.1298
MEM 168.800781 1642041410.2418
MEM 176.449219 1642041410.3538
MEM 188.121094 1642041410.4658
MEM 200.976562 1642041410.5758
MEM 206.558594 1642041410.6879
MEM 200.605469 1642041410.7999
MEM 198.339844 1642041410.9099
MEM 207.980469 1642041411.0220
MEM 209.132812 1642041411.1340
MEM 223.492188 1642041411.2440
MEM 201.691406 1642041411.3560
MEM 172.925781 1642041411.4681
MEM 160.714844 1642041411.5801
MEM 180.230469 1642041411.6921
MEM 172.933594 1642041411.8041
MEM 160.726562 1642041411.9162
MEM 174.632812 1642041412.0282
MEM 177.402344 1642041412.1382
MEM 187.886719 1642041412.2502
MEM 198.777344 1642041412.3623
MEM 207.933594 1642041412.4723
MEM 217.460938 1642041412.5843
MEM 217.960938 1642041412.6963
MEM 208.433594 1642041412.8084
MEM 217.593750 1642041412.9204
MEM 223.234375 1642041413.0314
MEM 219.507812 1642041413.1404
