CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 2.085938 1642041572.0790
MEM 16.187500 1642041572.1880
MEM 25.035156 1642041572.2980
MEM 31.449219 1642041572.4100
MEM 39.261719 1642041572.5221
MEM 70.539062 1642041572.6342
MEM 117.812500 1642041572.7461
MEM 130.480469 1642041572.8581
MEM 136.777344 1642041572.9699
MEM 157.921875 1642041573.0779
MEM 164.820312 1642041573.1899
MEM 161.015625 1642041573.2999
MEM 161.140625 1642041573.4099
MEM 164.171875 1642041573.5200
MEM 161.253906 1642041573.6320
MEM 164.554688 1642041573.7440
MEM 161.378906 1642041573.8560
MEM 160.921875 1642041573.9681
MEM 161.480469 1642041574.0781
MEM 160.796875 1642041574.1901
MEM 165.722656 1642041574.3021
MEM 161.171875 1642041574.4142
MEM 161.203125 1642041574.5252
MEM 160.808594 1642041574.6362
MEM 161.238281 1642041574.7482
MEM 160.929688 1642041574.8603
MEM 160.882812 1642041574.9723
MEM 164.046875 1642041575.0843
MEM 164.234375 1642041575.1943
MEM 165.683594 1642041575.3044
MEM 160.933594 1642041575.4164
MEM 161.851562 1642041575.5284
MEM 163.253906 1642041575.6405
MEM 166.257812 1642041575.7505
MEM 160.894531 1642041575.8625
MEM 161.320312 1642041575.9725
MEM 162.613281 1642041576.0845
MEM 165.300781 1642041576.1946
MEM 161.621094 1642041576.3066
MEM 161.636719 1642041576.4186
MEM 161.640625 1642041576.5306
MEM 164.726562 1642041576.6427
MEM 162.628906 1642041576.7547
MEM 162.683594 1642041576.8667
MEM 166.472656 1642041576.9767
MEM 162.640625 1642041577.0888
MEM 163.414062 1642041577.1988
MEM 165.687500 1642041577.3108
MEM 162.613281 1642041577.4228
MEM 162.070312 1642041577.5349
MEM 162.148438 1642041577.6469
MEM 163.593750 1642041577.7590
MEM 162.050781 1642041577.8710
MEM 165.781250 1642041577.9830
MEM 165.097656 1642041578.0950
MEM 161.683594 1642041578.2071
MEM 162.292969 1642041578.3191
MEM 164.437500 1642041578.4311
MEM 166.781250 1642041578.5432
MEM 162.261719 1642041578.6532
MEM 162.359375 1642041578.7652
MEM 166.347656 1642041578.8772
MEM 162.304688 1642041578.9893
MEM 162.574219 1642041579.1013
MEM 163.406250 1642041579.2133
MEM 162.589844 1642041579.3253
MEM 162.593750 1642041579.4374
MEM 163.035156 1642041579.5494
MEM 164.246094 1642041579.6594
MEM 162.417969 1642041579.7714
MEM 163.363281 1642041579.8835
MEM 162.175781 1642041579.9955
MEM 163.746094 1642041580.1075
MEM 163.250000 1642041580.2195
MEM 165.085938 1642041580.3316
MEM 163.250000 1642041580.4436
MEM 163.746094 1642041580.5556
MEM 166.621094 1642041580.6676
MEM 163.070312 1642041580.7797
MEM 162.359375 1642041580.8917
MEM 164.359375 1642041581.0037
MEM 163.816406 1642041581.1157
MEM 167.687500 1642041581.2278
MEM 166.835938 1642041581.3398
MEM 163.390625 1642041581.4518
MEM 163.492188 1642041581.5638
MEM 166.496094 1642041581.6759
MEM 163.390625 1642041581.7879
MEM 163.492188 1642041581.8999
MEM 164.718750 1642041582.0119
MEM 163.390625 1642041582.1240
MEM 163.699219 1642041582.2360
MEM 164.898438 1642041582.3480
MEM 165.289062 1642041582.4600
MEM 167.792969 1642041582.5721
MEM 163.632812 1642041582.6841
MEM 167.562500 1642041582.7961
MEM 163.632812 1642041582.9081
MEM 165.152344 1642041583.0182
MEM 168.406250 1642041583.1282
MEM 163.804688 1642041583.2402
MEM 163.878906 1642041583.3522
MEM 166.187500 1642041583.4623
MEM 166.199219 1642041583.5723
MEM 165.128906 1642041583.6843
MEM 169.238281 1642041583.7963
MEM 164.136719 1642041583.9084
MEM 167.003906 1642041584.0204
MEM 168.019531 1642041584.1324
MEM 164.136719 1642041584.2444
MEM 168.699219 1642041584.3565
MEM 164.191406 1642041584.4685
MEM 166.535156 1642041584.5805
MEM 167.089844 1642041584.6926
MEM 164.390625 1642041584.8046
MEM 164.445312 1642041584.9166
MEM 166.832031 1642041585.0286
MEM 166.519531 1642041585.1407
MEM 167.718750 1642041585.2527
MEM 165.898438 1642041585.3647
MEM 166.910156 1642041585.4747
MEM 164.644531 1642041585.5867
MEM 164.699219 1642041585.6987
MEM 168.593750 1642041585.8108
MEM 167.972656 1642041585.9228
MEM 164.644531 1642041586.0328
MEM 169.460938 1642041586.1428
MEM 164.875000 1642041586.2549
MEM 164.898438 1642041586.3669
MEM 166.265625 1642041586.4789
MEM 165.597656 1642041586.5909
MEM 165.640625 1642041586.7010
MEM 170.000000 1642041586.8130
MEM 163.296875 1642041586.9250
MEM 165.199219 1642041587.0370
MEM 165.152344 1642041587.1471
MEM 165.152344 1642041587.2591
MEM 166.777344 1642041587.3711
MEM 165.207031 1642041587.4831
MEM 166.589844 1642041587.5952
MEM 167.753906 1642041587.7072
MEM 170.507812 1642041587.8192
MEM 168.734375 1642041587.9302
MEM 165.406250 1642041588.0393
MEM 165.460938 1642041588.1513
MEM 168.734375 1642041588.2633
MEM 165.406250 1642041588.3753
MEM 165.460938 1642041588.4874
MEM 168.734375 1642041588.5994
MEM 165.406250 1642041588.7114
MEM 165.406250 1642041588.8214
MEM 166.894531 1642041588.9335
MEM 170.507812 1642041589.0455
MEM 170.507812 1642041589.1575
MEM 165.406250 1642041589.2695
MEM 165.406250 1642041589.3806
MEM 165.406250 1642041589.4916
MEM 166.617188 1642041589.6036
MEM 170.507812 1642041589.7157
MEM 165.382812 1642041589.8277
MEM 168.734375 1642041589.9397
MEM 165.406250 1642041590.0517
MEM 165.406250 1642041590.1638
MEM 166.636719 1642041590.2758
MEM 166.914062 1642041590.3878
MEM 169.363281 1642041590.4998
MEM 165.406250 1642041590.6119
MEM 165.460938 1642041590.7239
MEM 170.484375 1642041590.8359
MEM 165.460938 1642041590.9479
MEM 168.730469 1642041591.0600
MEM 168.511719 1642041591.1720
MEM 170.507812 1642041591.2840
MEM 165.054688 1642041591.3960
MEM 165.406250 1642041591.5081
MEM 166.156250 1642041591.6201
MEM 165.460938 1642041591.7321
MEM 165.406250 1642041591.8441
MEM 165.460938 1642041591.9562
MEM 169.421875 1642041592.0682
MEM 169.414062 1642041592.1782
MEM 165.406250 1642041592.2882
MEM 168.105469 1642041592.3983
MEM 165.406250 1642041592.5103
MEM 165.460938 1642041592.6203
MEM 170.101562 1642041592.7323
MEM 170.019531 1642041592.8444
MEM 165.445312 1642041592.9564
MEM 165.460938 1642041593.0684
MEM 166.636719 1642041593.1784
MEM 169.648438 1642041593.2885
MEM 165.054688 1642041593.4005
MEM 166.640625 1642041593.5125
MEM 166.128906 1642041593.6245
MEM 167.746094 1642041593.7366
MEM 168.656250 1642041593.8486
MEM 168.734375 1642041593.9606
MEM 170.507812 1642041594.0726
MEM 169.441406 1642041594.1837
MEM 170.507812 1642041594.2947
MEM 168.734375 1642041594.4067
MEM 165.406250 1642041594.5187
MEM 167.808594 1642041594.6308
MEM 165.406250 1642041594.7428
MEM 165.406250 1642041594.8548
MEM 170.171875 1642041594.9668
MEM 165.460938 1642041595.0789
MEM 169.199219 1642041595.1909
MEM 168.734375 1642041595.3029
MEM 165.445312 1642041595.4149
MEM 165.406250 1642041595.5270
MEM 167.769531 1642041595.6390
MEM 165.406250 1642041595.7510
MEM 165.406250 1642041595.8610
MEM 165.406250 1642041595.9731
MEM 165.460938 1642041596.0851
MEM 167.492188 1642041596.1971
MEM 169.527344 1642041596.3092
MEM 165.406250 1642041596.4212
MEM 167.625000 1642041596.5332
MEM 165.406250 1642041596.6452
MEM 168.656250 1642041596.7573
MEM 168.734375 1642041596.8693
MEM 165.406250 1642041596.9813
MEM 165.406250 1642041597.0923
MEM 165.406250 1642041597.2014
MEM 165.406250 1642041597.3114
MEM 165.406250 1642041597.4234
MEM 165.460938 1642041597.5354
MEM 166.148438 1642041597.6455
MEM 170.019531 1642041597.7575
MEM 165.406250 1642041597.8695
MEM 167.667969 1642041597.9815
