CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 2.050781 1642041793.5775
MEM 16.304688 1642041793.6906
MEM 24.707031 1642041793.8007
MEM 31.179688 1642041793.9107
MEM 38.949219 1642041794.0228
MEM 69.402344 1642041794.1344
MEM 116.628906 1642041794.2446
MEM 128.957031 1642041794.3566
MEM 136.343750 1642041794.4666
MEM 160.109375 1642041794.5786
MEM 160.140625 1642041794.6907
MEM 160.605469 1642041794.8027
MEM 164.675781 1642041794.9147
MEM 164.371094 1642041795.0267
MEM 162.332031 1642041795.1388
MEM 160.875000 1642041795.2508
MEM 164.781250 1642041795.3608
MEM 163.085938 1642041795.4728
MEM 159.968750 1642041795.5849
MEM 159.558594 1642041795.6949
MEM 159.578125 1642041795.8069
MEM 164.765625 1642041795.9189
MEM 160.113281 1642041796.0310
MEM 159.609375 1642041796.1430
MEM 159.167969 1642041796.2550
MEM 164.781250 1642041796.3671
MEM 159.558594 1642041796.4791
MEM 159.578125 1642041796.5911
MEM 162.601562 1642041796.7011
MEM 160.164062 1642041796.8132
MEM 159.558594 1642041796.9252
MEM 164.781250 1642041797.0372
MEM 159.609375 1642041797.1492
MEM 159.167969 1642041797.2613
MEM 163.863281 1642041797.3733
MEM 159.613281 1642041797.4853
MEM 164.781250 1642041797.5946
MEM 159.621094 1642041797.7066
MEM 163.175781 1642041797.8186
MEM 161.800781 1642041797.9307
MEM 159.566406 1642041798.0407
MEM 159.585938 1642041798.1527
MEM 163.175781 1642041798.2627
MEM 163.039062 1642041798.3748
MEM 159.566406 1642041798.4868
MEM 164.773438 1642041798.5988
MEM 159.621094 1642041798.7109
MEM 159.585938 1642041798.8209
MEM 164.789062 1642041798.9309
MEM 160.144531 1642041799.0429
MEM 159.175781 1642041799.1550
MEM 161.828125 1642041799.2670
MEM 159.621094 1642041799.3790
MEM 159.566406 1642041799.4910
MEM 160.804688 1642041799.6031
MEM 159.593750 1642041799.7151
MEM 163.179688 1642041799.8271
MEM 162.726562 1642041799.9391
MEM 160.109375 1642041800.0512
MEM 159.593750 1642041800.1612
MEM 163.179688 1642041800.2732
MEM 164.355469 1642041800.3852
MEM 162.121094 1642041800.4973
MEM 159.593750 1642041800.6093
MEM 161.917969 1642041800.7213
MEM 161.035156 1642041800.8333
MEM 159.644531 1642041800.9434
MEM 164.792969 1642041801.0554
MEM 159.648438 1642041801.1674
MEM 159.582031 1642041801.2794
MEM 159.593750 1642041801.3915
MEM 159.171875 1642041801.5035
MEM 164.796875 1642041801.6155
MEM 159.652344 1642041801.7275
MEM 163.183594 1642041801.8396
MEM 163.687500 1642041801.9516
MEM 159.652344 1642041802.0636
MEM 159.597656 1642041802.1756
MEM 161.921875 1642041802.2877
MEM 159.652344 1642041802.3997
MEM 159.597656 1642041802.5097
MEM 159.597656 1642041802.6217
MEM 164.796875 1642041802.7338
MEM 160.968750 1642041802.8458
MEM 159.585938 1642041802.9578
MEM 163.777344 1642041803.0679
MEM 159.835938 1642041803.1799
MEM 159.597656 1642041803.2919
MEM 164.796875 1642041803.4040
MEM 164.359375 1642041803.5150
MEM 159.652344 1642041803.6260
MEM 161.785156 1642041803.7381
MEM 159.652344 1642041803.8501
MEM 159.597656 1642041803.9621
MEM 164.796875 1642041804.0741
MEM 161.328125 1642041804.1862
MEM 159.597656 1642041804.2982
MEM 159.585938 1642041804.4102
MEM 163.183594 1642041804.5202
MEM 163.839844 1642041804.6313
MEM 160.253906 1642041804.7403
MEM 159.597656 1642041804.8523
MEM 164.359375 1642041804.9643
MEM 159.652344 1642041805.0764
MEM 163.183594 1642041805.1884
MEM 164.796875 1642041805.3004
MEM 162.847656 1642041805.4124
MEM 159.597656 1642041805.5245
MEM 159.597656 1642041805.6365
MEM 163.183594 1642041805.7485
MEM 164.210938 1642041805.8605
MEM 159.652344 1642041805.9726
MEM 163.183594 1642041806.0846
MEM 159.652344 1642041806.1966
MEM 159.578125 1642041806.3086
MEM 159.652344 1642041806.4207
MEM 164.796875 1642041806.5317
MEM 161.750000 1642041806.6427
MEM 159.597656 1642041806.7547
MEM 164.796875 1642041806.8668
MEM 160.820312 1642041806.9768
MEM 159.585938 1642041807.0888
MEM 159.597656 1642041807.1988
MEM 160.261719 1642041807.3109
MEM 164.796875 1642041807.4229
MEM 159.652344 1642041807.5349
MEM 159.597656 1642041807.6469
MEM 163.183594 1642041807.7590
MEM 162.707031 1642041807.8710
MEM 159.597656 1642041807.9820
MEM 163.183594 1642041808.0930
MEM 161.250000 1642041808.2051
MEM 159.585938 1642041808.3171
MEM 162.773438 1642041808.4291
MEM 159.597656 1642041808.5412
MEM 163.183594 1642041808.6532
MEM 160.988281 1642041808.7652
MEM 159.578125 1642041808.8772
MEM 164.308594 1642041808.9893
MEM 160.433594 1642041809.1013
MEM 159.597656 1642041809.2133
MEM 161.097656 1642041809.3253
MEM 159.597656 1642041809.4374
MEM 164.796875 1642041809.5494
MEM 159.652344 1642041809.6614
MEM 163.183594 1642041809.7714
MEM 161.132812 1642041809.8835
MEM 159.187500 1642041809.9955
MEM 164.796875 1642041810.1075
MEM 159.652344 1642041810.2195
MEM 164.308594 1642041810.3316
MEM 159.652344 1642041810.4436
MEM 159.640625 1642041810.5556
MEM 159.457031 1642041810.6676
MEM 163.718750 1642041810.7797
MEM 159.597656 1642041810.8917
MEM 163.542969 1642041811.0037
MEM 159.652344 1642041811.1137
MEM 159.597656 1642041811.2258
MEM 163.062500 1642041811.3378
MEM 159.597656 1642041811.4498
MEM 164.796875 1642041811.5619
MEM 162.750000 1642041811.6739
MEM 159.585938 1642041811.7859
MEM 159.597656 1642041811.8979
MEM 163.011719 1642041812.0099
MEM 159.652344 1642041812.1220
MEM 159.597656 1642041812.2340
MEM 164.796875 1642041812.3440
MEM 160.964844 1642041812.4560
MEM 159.597656 1642041812.5681
MEM 164.796875 1642041812.6761
MEM 159.652344 1642041812.7881
MEM 164.796875 1642041812.8981
MEM 159.640625 1642041813.0102
MEM 163.183594 1642041813.1202
MEM 160.343750 1642041813.2302
MEM 159.597656 1642041813.3402
MEM 163.062500 1642041813.4523
MEM 159.597656 1642041813.5643
MEM 164.796875 1642041813.6763
MEM 161.886719 1642041813.7883
MEM 159.648438 1642041813.9004
MEM 159.597656 1642041814.0124
MEM 164.796875 1642041814.1244
MEM 160.234375 1642041814.2364
MEM 159.648438 1642041814.3465
MEM 164.113281 1642041814.4565
MEM 161.250000 1642041814.5685
MEM 159.597656 1642041814.6805
MEM 159.597656 1642041814.7926
MEM 163.183594 1642041814.9046
MEM 160.843750 1642041815.0166
MEM 159.597656 1642041815.1286
MEM 163.183594 1642041815.2407
MEM 162.656250 1642041815.3527
MEM 159.597656 1642041815.4627
MEM 159.597656 1642041815.5748
MEM 164.796875 1642041815.6868
MEM 159.597656 1642041815.7968
MEM 159.175781 1642041815.9088
MEM 164.027344 1642041816.0209
MEM 160.160156 1642041816.1329
MEM 159.597656 1642041816.2449
MEM 163.183594 1642041816.3569
MEM 161.687500 1642041816.4690
MEM 161.250000 1642041816.5810
MEM 159.597656 1642041816.6930
MEM 160.289062 1642041816.8050
MEM 159.597656 1642041816.9171
MEM 163.835938 1642041817.0291
MEM 162.839844 1642041817.1411
MEM 159.652344 1642041817.2531
MEM 159.585938 1642041817.3632
MEM 159.597656 1642041817.4752
MEM 159.585938 1642041817.5872
MEM 163.750000 1642041817.6973
MEM 161.179688 1642041817.8093
MEM 159.597656 1642041817.9213
MEM 163.816406 1642041818.0333
MEM 159.597656 1642041818.1453
MEM 159.597656 1642041818.2574
MEM 164.308594 1642041818.3694
MEM 159.597656 1642041818.4814
MEM 164.796875 1642041818.5935
MEM 163.550781 1642041818.7055
MEM 159.585938 1642041818.8175
MEM 164.796875 1642041818.9295
MEM 160.316406 1642041819.0416
MEM 159.597656 1642041819.1536
MEM 164.796875 1642041819.2656
MEM 162.613281 1642041819.3776
MEM 159.652344 1642041819.4897
MEM 159.597656 1642041819.6017
MEM 163.183594 1642041819.7137
MEM 163.183594 1642041819.8257
MEM 160.199219 1642041819.9378
MEM 159.597656 1642041820.0498
MEM 163.792969 1642041820.1618
MEM 159.640625 1642041820.2738
MEM 163.843750 1642041820.3859
MEM 159.597656 1642041820.4979
MEM 161.343750 1642041820.6099
MEM 159.597656 1642041820.7219
MEM 161.300781 1642041820.8340
MEM 159.597656 1642041820.9460
MEM 161.789062 1642041821.0580
MEM 160.820312 1642041821.1700
MEM 159.585938 1642041821.2801
MEM 159.597656 1642041821.3921
MEM 163.835938 1642041821.5041
MEM 160.281250 1642041821.6161
MEM 159.597656 1642041821.7282
MEM 163.695312 1642041821.8402
MEM 159.652344 1642041821.9522
MEM 163.183594 1642041822.0642
MEM 159.652344 1642041822.1763
MEM 163.183594 1642041822.2883
MEM 164.359375 1642041822.4003
MEM 159.636719 1642041822.5123
MEM 163.511719 1642041822.6244
MEM 159.652344 1642041822.7364
MEM 163.183594 1642041822.8464
MEM 163.843750 1642041822.9564
MEM 160.300781 1642041823.0685
MEM 159.597656 1642041823.1805
MEM 163.890625 1642041823.2925
MEM 160.121094 1642041823.4045
MEM 159.597656 1642041823.5166
MEM 159.597656 1642041823.6286
MEM 165.230469 1642041823.7406
MEM 159.769531 1642041823.8526
MEM 162.796875 1642041823.9647
MEM 159.714844 1642041824.0767
MEM 162.210938 1642041824.1887
MEM 159.718750 1642041824.3007
MEM 159.308594 1642041824.4128
MEM 162.234375 1642041824.5248
MEM 159.312500 1642041824.6368
MEM 164.777344 1642041824.7488
MEM 159.718750 1642041824.8589
MEM 163.210938 1642041824.9709
MEM 155.660156 1642041825.0829
