CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 2.058594 1642041694.3099
MEM 16.203125 1642041694.4219
MEM 25.089844 1642041694.5340
MEM 31.609375 1642041694.6460
MEM 39.355469 1642041694.7580
MEM 70.726562 1642041694.8700
MEM 118.304688 1642041694.9821
MEM 131.203125 1642041695.0921
MEM 137.273438 1642041695.2041
MEM 159.949219 1642041695.3161
MEM 164.234375 1642041695.4280
MEM 161.097656 1642041695.5400
MEM 161.171875 1642041695.6521
MEM 159.292969 1642041695.7641
MEM 159.339844 1642041695.8761
MEM 158.992188 1642041695.9881
MEM 162.796875 1642041696.0982
MEM 159.503906 1642041696.2082
MEM 159.996094 1642041696.3182
MEM 164.421875 1642041696.4302
MEM 159.980469 1642041696.5403
MEM 160.562500 1642041696.6523
MEM 159.406250 1642041696.7643
MEM 159.324219 1642041696.8764
MEM 162.207031 1642041696.9884
MEM 160.636719 1642041697.1004
MEM 160.179688 1642041697.2104
MEM 159.441406 1642041697.3204
MEM 159.445312 1642041697.4325
MEM 164.664062 1642041697.5445
MEM 163.652344 1642041697.6565
MEM 160.835938 1642041697.7685
MEM 159.632812 1642041697.8806
MEM 165.246094 1642041697.9926
MEM 162.593750 1642041698.1046
MEM 159.714844 1642041698.2146
MEM 159.644531 1642041698.3267
MEM 159.683594 1642041698.4387
MEM 163.886719 1642041698.5507
MEM 162.933594 1642041698.6627
MEM 159.730469 1642041698.7748
MEM 160.343750 1642041698.8868
MEM 163.070312 1642041698.9988
MEM 160.656250 1642041699.1108
MEM 162.886719 1642041699.2229
MEM 160.730469 1642041699.3349
MEM 160.136719 1642041699.4469
MEM 164.097656 1642041699.5589
MEM 160.234375 1642041699.6710
MEM 159.992188 1642041699.7830
MEM 160.046875 1642041699.8950
MEM 160.730469 1642041700.0070
MEM 160.816406 1642041700.1191
MEM 160.855469 1642041700.2311
MEM 161.699219 1642041700.3421
MEM 161.496094 1642041700.4532
MEM 162.210938 1642041700.5652
MEM 162.324219 1642041700.6772
MEM 161.812500 1642041700.7892
MEM 165.878906 1642041700.9012
MEM 163.371094 1642041701.0133
MEM 164.109375 1642041701.1253
MEM 163.628906 1642041701.2373
MEM 160.367188 1642041701.3494
MEM 160.675781 1642041701.4614
MEM 160.539062 1642041701.5734
MEM 161.175781 1642041701.6854
MEM 164.417969 1642041701.7954
MEM 164.367188 1642041701.9075
MEM 163.835938 1642041702.0195
MEM 160.984375 1642041702.1305
MEM 160.621094 1642041702.2416
MEM 166.351562 1642041702.3536
MEM 162.312500 1642041702.4646
MEM 162.796875 1642041702.5746
MEM 164.429688 1642041702.6857
MEM 164.621094 1642041702.7957
MEM 161.187500 1642041702.9077
MEM 161.171875 1642041703.0197
MEM 164.179688 1642041703.1308
MEM 161.539062 1642041703.2418
MEM 161.964844 1642041703.3538
MEM 162.960938 1642041703.4659
MEM 161.750000 1642041703.5779
MEM 166.644531 1642041703.6899
MEM 166.554688 1642041703.8019
MEM 163.890625 1642041703.9139
MEM 161.933594 1642041704.0260
MEM 161.332031 1642041704.1380
MEM 166.925781 1642041704.2500
MEM 161.785156 1642041704.3620
MEM 161.757812 1642041704.4741
MEM 161.714844 1642041704.5861
MEM 165.683594 1642041704.6961
MEM 164.929688 1642041704.8081
MEM 161.835938 1642041704.9202
MEM 162.843750 1642041705.0322
MEM 162.359375 1642041705.1442
MEM 162.593750 1642041705.2563
MEM 162.382812 1642041705.3683
MEM 161.863281 1642041705.4793
MEM 165.398438 1642041705.5883
MEM 166.640625 1642041705.7004
MEM 162.308594 1642041705.8124
MEM 162.105469 1642041705.9244
MEM 162.105469 1642041706.0364
